,Visitor,PTS,Home,PTS.1,visitorWin,homeWin,visTotWL,homeTotWL,visvisWL,homehomeWL,visMatchupWL,homeMatchupWL
699,Houston Rockets,123,Philadelphia 76ers,118,1.0,0.0,,,,,,
700,Memphis Grizzlies,109,Portland Trail Blazers,112,0.0,1.0,,,,,,
701,Milwaukee Bucks,86,Toronto Raptors,102,0.0,1.0,,,,,,
702,Sacramento Kings,109,Charlotte Hornets,106,1.0,0.0,,,,,,
703,Los Angeles Clippers,98,Golden State Warriors,144,0.0,1.0,,,,,,
704,Detroit Pistons,103,Miami Heat,116,0.0,1.0,,,,,,
705,Boston Celtics,112,Milwaukee Bucks,108,1.0,0.0,,,,,,
706,Brooklyn Nets,109,Minnesota Timberwolves,129,0.0,1.0,,,,,,
707,Denver Nuggets,123,Phoenix Suns,112,1.0,0.0,,,,,,
708,Memphis Grizzlies,102,Utah Jazz,95,1.0,0.0,,,,,,
709,New York Knicks,139,Atlanta Hawks,142,0.0,1.0,,,,,,
710,Philadelphia 76ers,108,Chicago Bulls,121,0.0,1.0,,,,,,
711,Oklahoma City Thunder,91,Cleveland Cavaliers,107,0.0,1.0,,,,,,
712,Houston Rockets,101,Indiana Pacers,120,0.0,1.0,,,,,,
713,Washington Wizards,107,New Orleans Pelicans,94,1.0,0.0,,,,,,
714,Golden State Warriors,113,Portland Trail Blazers,111,1.0,0.0,,,,,,
715,Dallas Mavericks,105,San Antonio Spurs,101,1.0,0.0,,,,,,
716,Orlando Magic,114,Toronto Raptors,113,1.0,0.0,,,,,,
717,Detroit Pistons,109,Boston Celtics,113,0.0,1.0,,,,,,
718,Cleveland Cavaliers,97,Dallas Mavericks,104,0.0,1.0,,,,,,
719,Brooklyn Nets,96,Miami Heat,104,0.0,1.0,,,,,,
720,Orlando Magic,105,Minnesota Timberwolves,111,0.0,1.0,,,,,,
721,Sacramento Kings,119,Philadelphia 76ers,122,0.0,1.0,,,,,,
722,Memphis Grizzlies,115,Phoenix Suns,96,1.0,0.0,,,,,,
723,Sacramento Kings,83,Houston Rockets,105,0.0,1.0,,,,,,
724,Denver Nuggets,116,Los Angeles Lakers,120,0.0,1.0,,,,,,
725,Charlotte Hornets,98,Portland Trail Blazers,115,0.0,1.0,,,,,,
726,Oklahoma City Thunder,94,San Antonio Spurs,108,0.0,1.0,,,,,,
727,New Orleans Pelicans,106,Toronto Raptors,108,0.0,1.0,,,,,,
728,New York Knicks,101,Washington Wizards,117,0.0,1.0,,,,,,
729,Toronto Raptors,104,Boston Celtics,109,0.0,1.0,,,,,,
730,New York Knicks,95,Brooklyn Nets,90,1.0,0.0,,,,,,
731,Minnesota Timberwolves,97,Cleveland Cavaliers,125,0.0,1.0,,,,,,
732,Philadelphia 76ers,95,Dallas Mavericks,113,0.0,1.0,,,,,,
733,Memphis Grizzlies,119,Denver Nuggets,99,1.0,0.0,,,,,,
734,New Orleans Pelicans,98,Detroit Pistons,118,0.0,1.0,,,,,,
735,Charlotte Hornets,111,Golden State Warriors,126,0.0,1.0,,,,,,
736,Atlanta Hawks,93,Miami Heat,116,0.0,1.0,,,,,,
737,Chicago Bulls,128,Oklahoma City Thunder,100,1.0,0.0,,,,,,
738,Indiana Pacers,98,Orlando Magic,88,1.0,0.0,,,,,,
739,Los Angeles Clippers,124,Phoenix Suns,114,1.0,0.0,,,,,,
740,Milwaukee Bucks,88,Utah Jazz,104,0.0,1.0,,,,,,
741,Atlanta Hawks,113,Houston Rockets,108,1.0,0.0,,,,,,
742,Golden State Warriors,133,Los Angeles Clippers,120,1.0,0.0,,,,,,
743,Philadelphia 76ers,86,San Antonio Spurs,102,0.0,1.0,,,,,,
744,Los Angeles Lakers,108,Washington Wizards,116,0.0,1.0,,,,,,
745,Los Angeles Lakers,107,Boston Celtics,113,0.0,1.0,,,,,,
746,Indiana Pacers,106,Brooklyn Nets,97,1.0,0.0,,,,,,
747,Milwaukee Bucks,117,Denver Nuggets,121,0.0,1.0,,,,,,
748,Minnesota Timberwolves,108,Detroit Pistons,116,0.0,1.0,,,,,,
749,Chicago Bulls,117,Houston Rockets,121,0.0,1.0,,,,,,
750,Memphis Grizzlies,102,Oklahoma City Thunder,114,0.0,1.0,,,,,,
751,Toronto Raptors,94,Orlando Magic,102,0.0,1.0,,,,,,
752,Dallas Mavericks,108,Portland Trail Blazers,104,1.0,0.0,,,,,,
753,Phoenix Suns,105,Sacramento Kings,103,1.0,0.0,,,,,,
754,Orlando Magic,86,Atlanta Hawks,113,0.0,1.0,,,,,,
755,Detroit Pistons,84,Indiana Pacers,105,0.0,1.0,,,,,,
756,Philadelphia 76ers,102,Miami Heat,125,0.0,1.0,,,,,,
757,Memphis Grizzlies,107,Minnesota Timberwolves,99,1.0,0.0,,,,,,
758,Cleveland Cavaliers,111,New York Knicks,104,1.0,0.0,,,,,,
759,Milwaukee Bucks,137,Phoenix Suns,112,1.0,0.0,,,,,,
760,Golden State Warriors,106,Sacramento Kings,109,0.0,1.0,,,,,,
761,Denver Nuggets,97,San Antonio Spurs,121,0.0,1.0,,,,,,
762,Charlotte Hornets,98,Utah Jazz,105,0.0,1.0,,,,,,
763,New Orleans Pelicans,91,Washington Wizards,105,0.0,1.0,,,,,,
764,Los Angeles Clippers,102,Boston Celtics,107,0.0,1.0,,,,,,
765,Toronto Raptors,103,Brooklyn Nets,95,1.0,0.0,,,,,,
766,Portland Trail Blazers,99,Oklahoma City Thunder,105,0.0,1.0,,,,,,
767,Utah Jazz,120,Atlanta Hawks,95,1.0,0.0,,,,,,
768,Dallas Mavericks,87,Denver Nuggets,110,0.0,1.0,,,,,,
769,Philadelphia 76ers,96,Detroit Pistons,113,0.0,1.0,,,,,,
770,Oklahoma City Thunder,90,Indiana Pacers,93,0.0,1.0,,,,,,
771,San Antonio Spurs,74,Memphis Grizzlies,89,0.0,1.0,,,,,,
772,Miami Heat,115,Minnesota Timberwolves,113,1.0,0.0,,,,,,
773,Phoenix Suns,106,New Orleans Pelicans,111,0.0,1.0,,,,,,
774,Los Angeles Lakers,121,New York Knicks,107,1.0,0.0,,,,,,
775,Chicago Bulls,112,Sacramento Kings,107,1.0,0.0,,,,,,
776,Los Angeles Clippers,109,Toronto Raptors,118,0.0,1.0,,,,,,
777,Cleveland Cavaliers,140,Washington Wizards,135,1.0,0.0,,,,,,
778,Brooklyn Nets,107,Charlotte Hornets,111,0.0,1.0,,,,,,
779,Portland Trail Blazers,114,Dallas Mavericks,113,1.0,0.0,,,,,,
780,Orlando Magic,104,Houston Rockets,128,0.0,1.0,,,,,,
781,Denver Nuggets,106,Atlanta Hawks,117,0.0,1.0,,,,,,
782,Washington Wizards,114,Brooklyn Nets,110,1.0,0.0,,,,,,
783,Los Angeles Lakers,102,Detroit Pistons,121,0.0,1.0,,,,,,
784,Chicago Bulls,92,Golden State Warriors,123,0.0,1.0,,,,,,
785,Cleveland Cavaliers,132,Indiana Pacers,117,1.0,0.0,,,,,,
786,Phoenix Suns,91,Memphis Grizzlies,110,0.0,1.0,,,,,,
787,Miami Heat,106,Milwaukee Bucks,88,1.0,0.0,,,,,,
788,Toronto Raptors,109,Minnesota Timberwolves,112,0.0,1.0,,,,,,
789,Utah Jazz,127,New Orleans Pelicans,94,1.0,0.0,,,,,,
790,Los Angeles Clippers,119,New York Knicks,115,1.0,0.0,,,,,,
791,San Antonio Spurs,111,Philadelphia 76ers,103,1.0,0.0,,,,,,
792,Boston Celtics,92,Sacramento Kings,108,0.0,1.0,,,,,,
793,Houston Rockets,107,Charlotte Hornets,95,1.0,0.0,,,,,,
794,Utah Jazz,105,Dallas Mavericks,112,0.0,1.0,,,,,,
795,Cleveland Cavaliers,109,Oklahoma City Thunder,118,0.0,1.0,,,,,,
796,Philadelphia 76ers,112,Orlando Magic,111,1.0,0.0,,,,,,
797,Boston Celtics,120,Portland Trail Blazers,111,1.0,0.0,,,,,,
798,Miami Heat,108,Brooklyn Nets,99,1.0,0.0,,,,,,
799,San Antonio Spurs,103,Detroit Pistons,92,1.0,0.0,,,,,,
800,Golden State Warriors,122,Memphis Grizzlies,107,1.0,0.0,,,,,,
801,Los Angeles Lakers,122,Milwaukee Bucks,114,1.0,0.0,,,,,,
802,New Orleans Pelicans,122,Minnesota Timberwolves,106,1.0,0.0,,,,,,
803,Denver Nuggets,131,New York Knicks,123,1.0,0.0,,,,,,
804,Chicago Bulls,97,Phoenix Suns,115,0.0,1.0,,,,,,
805,Atlanta Hawks,107,Sacramento Kings,108,0.0,1.0,,,,,,
806,Indiana Pacers,107,Washington Wizards,112,0.0,1.0,,,,,,
807,Los Angeles Clippers,107,Charlotte Hornets,102,1.0,0.0,,,,,,
808,Denver Nuggets,109,Cleveland Cavaliers,125,0.0,1.0,,,,,,
809,Orlando Magic,80,Dallas Mavericks,112,0.0,1.0,,,,,,
810,Phoenix Suns,102,Houston Rockets,133,0.0,1.0,,,,,,
811,Milwaukee Bucks,116,Indiana Pacers,100,1.0,0.0,,,,,,
812,Golden State Warriors,130,Oklahoma City Thunder,114,1.0,0.0,,,,,,
813,Miami Heat,109,Philadelphia 76ers,117,0.0,1.0,,,,,,
814,Boston Celtics,112,Utah Jazz,104,1.0,0.0,,,,,,
815,Chicago Bulls,89,Minnesota Timberwolves,117,0.0,1.0,,,,,,
816,San Antonio Spurs,90,New York Knicks,94,0.0,1.0,,,,,,
817,New Orleans Pelicans,99,Sacramento Kings,105,0.0,1.0,,,,,,
818,Detroit Pistons,102,Toronto Raptors,101,1.0,0.0,,,,,,
819,Memphis Grizzlies,112,Brooklyn Nets,103,1.0,0.0,,,,,,
820,Philadelphia 76ers,105,Charlotte Hornets,99,1.0,0.0,,,,,,
821,Boston Celtics,111,Dallas Mavericks,98,1.0,0.0,,,,,,
822,Golden State Warriors,110,Denver Nuggets,132,0.0,1.0,,,,,,
823,San Antonio Spurs,110,Indiana Pacers,106,1.0,0.0,,,,,,
824,Orlando Magic,116,Miami Heat,107,1.0,0.0,,,,,,
825,Detroit Pistons,89,Milwaukee Bucks,102,0.0,1.0,,,,,,
826,New Orleans Pelicans,110,Phoenix Suns,108,1.0,0.0,,,,,,
827,Atlanta Hawks,109,Portland Trail Blazers,104,1.0,0.0,,,,,,
828,Los Angeles Clippers,88,Utah Jazz,72,1.0,0.0,,,,,,
829,Oklahoma City Thunder,98,Washington Wizards,120,0.0,1.0,,,,,,
830,Toronto Raptors,94,Chicago Bulls,105,0.0,1.0,,,,,,
831,Sacramento Kings,97,Los Angeles Lakers,96,1.0,0.0,,,,,,
832,Cleveland Cavaliers,116,Minnesota Timberwolves,108,1.0,0.0,,,,,,
833,Philadelphia 76ers,108,Boston Celtics,116,0.0,1.0,,,,,,
834,Milwaukee Bucks,129,Brooklyn Nets,125,1.0,0.0,,,,,,
835,Indiana Pacers,104,Cleveland Cavaliers,113,0.0,1.0,,,,,,
836,Minnesota Timberwolves,112,Denver Nuggets,99,1.0,0.0,,,,,,
837,Dallas Mavericks,91,Detroit Pistons,98,0.0,1.0,,,,,,
838,Sacramento Kings,86,Golden State Warriors,109,0.0,1.0,,,,,,
839,Miami Heat,117,Houston Rockets,109,1.0,0.0,,,,,,
840,Atlanta Hawks,84,Los Angeles Clippers,99,0.0,1.0,,,,,,
841,New Orleans Pelicans,95,Memphis Grizzlies,91,1.0,0.0,,,,,,
842,New York Knicks,105,Oklahoma City Thunder,116,0.0,1.0,,,,,,
843,San Antonio Spurs,107,Orlando Magic,79,1.0,0.0,,,,,,
844,Los Angeles Lakers,101,Phoenix Suns,137,0.0,1.0,,,,,,
845,Charlotte Hornets,85,Toronto Raptors,90,0.0,1.0,,,,,,
846,Portland Trail Blazers,88,Utah Jazz,111,0.0,1.0,,,,,,
847,Boston Celtics,103,Chicago Bulls,104,0.0,1.0,,,,,,
848,Washington Wizards,111,Indiana Pacers,98,1.0,0.0,,,,,,
849,New York Knicks,104,Cleveland Cavaliers,119,0.0,1.0,,,,,,
850,Charlotte Hornets,108,Detroit Pistons,114,0.0,1.0,,,,,,
851,Los Angeles Clippers,113,Golden State Warriors,123,0.0,1.0,,,,,,
852,Houston Rockets,129,New Orleans Pelicans,99,1.0,0.0,,,,,,
853,Portland Trail Blazers,112,Orlando Magic,103,1.0,0.0,,,,,,
854,Denver Nuggets,100,Sacramento Kings,116,0.0,1.0,,,,,,
855,Miami Heat,108,Atlanta Hawks,90,1.0,0.0,,,,,,
856,Phoenix Suns,121,Chicago Bulls,128,0.0,1.0,,,,,,
857,Brooklyn Nets,109,Denver Nuggets,129,0.0,1.0,,,,,,
858,Memphis Grizzlies,92,Indiana Pacers,102,0.0,1.0,,,,,,
859,San Antonio Spurs,105,Los Angeles Clippers,97,1.0,0.0,,,,,,
860,Utah Jazz,109,Milwaukee Bucks,95,1.0,0.0,,,,,,
861,Dallas Mavericks,84,Minnesota Timberwolves,97,0.0,1.0,,,,,,
862,Los Angeles Lakers,93,Oklahoma City Thunder,110,0.0,1.0,,,,,,
863,Washington Wizards,112,Philadelphia 76ers,120,0.0,1.0,,,,,,
864,Boston Celtics,97,Toronto Raptors,107,0.0,1.0,,,,,,
865,Chicago Bulls,117,Cleveland Cavaliers,99,1.0,0.0,,,,,,
866,New Orleans Pelicans,83,Dallas Mavericks,96,0.0,1.0,,,,,,
867,Brooklyn Nets,95,Golden State Warriors,112,0.0,1.0,,,,,,
868,Minnesota Timberwolves,130,Houston Rockets,142,0.0,1.0,,,,,,
869,Indiana Pacers,95,Miami Heat,113,0.0,1.0,,,,,,
870,Philadelphia 76ers,109,New York Knicks,110,0.0,1.0,,,,,,
871,Atlanta Hawks,86,Orlando Magic,105,0.0,1.0,,,,,,
872,Charlotte Hornets,99,Sacramento Kings,85,1.0,0.0,,,,,,
873,Memphis Grizzlies,105,Denver Nuggets,98,1.0,0.0,,,,,,
874,Boston Celtics,104,Detroit Pistons,98,1.0,0.0,,,,,,
875,Charlotte Hornets,121,Los Angeles Clippers,124,0.0,1.0,,,,,,
876,San Antonio Spurs,119,Los Angeles Lakers,98,1.0,0.0,,,,,,
877,Phoenix Suns,96,Milwaukee Bucks,100,0.0,1.0,,,,,,
878,New Orleans Pelicans,110,Oklahoma City Thunder,118,0.0,1.0,,,,,,
879,Portland Trail Blazers,106,Toronto Raptors,112,0.0,1.0,,,,,,
880,Utah Jazz,102,Washington Wizards,92,1.0,0.0,,,,,,
881,Atlanta Hawks,114,Boston Celtics,98,1.0,0.0,,,,,,
882,Milwaukee Bucks,95,Cleveland Cavaliers,102,0.0,1.0,,,,,,
883,Miami Heat,89,Dallas Mavericks,96,0.0,1.0,,,,,,
884,Indiana Pacers,117,Houston Rockets,108,1.0,0.0,,,,,,
885,Toronto Raptors,92,New York Knicks,91,1.0,0.0,,,,,,
886,Golden State Warriors,119,Philadelphia 76ers,108,1.0,0.0,,,,,,
887,Minnesota Timberwolves,102,Sacramento Kings,88,1.0,0.0,,,,,,
888,Denver Nuggets,125,Chicago Bulls,107,1.0,0.0,,,,,,
889,Portland Trail Blazers,113,Detroit Pistons,120,0.0,1.0,,,,,,
890,Charlotte Hornets,109,Los Angeles Lakers,104,1.0,0.0,,,,,,
891,Phoenix Suns,112,Memphis Grizzlies,130,0.0,1.0,,,,,,
892,Utah Jazz,106,Oklahoma City Thunder,109,0.0,1.0,,,,,,
893,Golden State Warriors,108,Washington Wizards,112,0.0,1.0,,,,,,
894,Dallas Mavericks,95,Atlanta Hawks,100,0.0,1.0,,,,,,
895,Cleveland Cavaliers,99,Boston Celtics,103,0.0,1.0,,,,,,
896,Houston Rockets,122,Los Angeles Clippers,103,1.0,0.0,,,,,,
897,Philadelphia 76ers,98,Miami Heat,125,0.0,1.0,,,,,,
898,Denver Nuggets,110,Milwaukee Bucks,98,1.0,0.0,,,,,,
899,Detroit Pistons,86,New Orleans Pelicans,109,0.0,1.0,,,,,,
900,New York Knicks,101,Orlando Magic,90,1.0,0.0,,,,,,
901,Brooklyn Nets,109,Sacramento Kings,100,1.0,0.0,,,,,,
902,Indiana Pacers,99,San Antonio Spurs,100,0.0,1.0,,,,,,
903,Washington Wizards,105,Toronto Raptors,96,1.0,0.0,,,,,,
904,Minnesota Timberwolves,107,Utah Jazz,80,1.0,0.0,,,,,,
905,Golden State Warriors,87,Chicago Bulls,94,0.0,1.0,,,,,,
906,Charlotte Hornets,103,Phoenix Suns,120,0.0,1.0,,,,,,
907,Oklahoma City Thunder,109,Portland Trail Blazers,114,0.0,1.0,,,,,,
908,Cleveland Cavaliers,135,Atlanta Hawks,130,1.0,0.0,,,,,,
909,Memphis Grizzlies,100,Dallas Mavericks,104,0.0,1.0,,,,,,
910,Boston Celtics,115,Los Angeles Lakers,95,1.0,0.0,,,,,,
911,Los Angeles Clippers,101,Milwaukee Bucks,112,0.0,1.0,,,,,,
912,San Antonio Spurs,101,New Orleans Pelicans,98,1.0,0.0,,,,,,
913,Miami Heat,99,Orlando Magic,110,0.0,1.0,,,,,,
914,New York Knicks,102,Philadelphia 76ers,105,0.0,1.0,,,,,,
915,Oklahoma City Thunder,111,Phoenix Suns,118,0.0,1.0,,,,,,
916,Brooklyn Nets,97,Utah Jazz,112,0.0,1.0,,,,,,
917,Toronto Raptors,114,Washington Wizards,106,1.0,0.0,,,,,,
918,Los Angeles Clippers,101,Chicago Bulls,91,1.0,0.0,,,,,,
919,Charlotte Hornets,112,Denver Nuggets,102,1.0,0.0,,,,,,
920,Memphis Grizzlies,108,Houston Rockets,123,0.0,1.0,,,,,,
921,Cleveland Cavaliers,92,Miami Heat,120,0.0,1.0,,,,,,
922,Toronto Raptors,94,Milwaukee Bucks,101,0.0,1.0,,,,,,
923,Detroit Pistons,136,Philadelphia 76ers,106,1.0,0.0,,,,,,
924,Brooklyn Nets,116,Portland Trail Blazers,130,0.0,1.0,,,,,,
925,Minnesota Timberwolves,90,San Antonio Spurs,97,0.0,1.0,,,,,,
926,Indiana Pacers,97,Atlanta Hawks,96,1.0,0.0,,,,,,
927,Oklahoma City Thunder,89,Dallas Mavericks,104,0.0,1.0,,,,,,
928,New Orleans Pelicans,105,Los Angeles Lakers,97,1.0,0.0,,,,,,
929,Golden State Warriors,112,New York Knicks,105,1.0,0.0,,,,,,
930,Boston Celtics,106,Phoenix Suns,109,0.0,1.0,,,,,,
931,Utah Jazz,110,Sacramento Kings,109,1.0,0.0,,,,,,
932,Orlando Magic,114,Washington Wizards,115,0.0,1.0,,,,,,
933,Golden State Warriors,119,Atlanta Hawks,111,1.0,0.0,,,,,,
934,Indiana Pacers,88,Charlotte Hornets,100,0.0,1.0,,,,,,
935,Miami Heat,106,Cleveland Cavaliers,98,1.0,0.0,,,,,,
936,Sacramento Kings,96,Denver Nuggets,108,0.0,1.0,,,,,,
937,Chicago Bulls,95,Detroit Pistons,109,0.0,1.0,,,,,,
938,Boston Celtics,102,Los Angeles Clippers,116,0.0,1.0,,,,,,
939,Brooklyn Nets,122,Memphis Grizzlies,109,1.0,0.0,,,,,,
940,New York Knicks,113,Orlando Magic,105,1.0,0.0,,,,,,
941,Milwaukee Bucks,112,Philadelphia 76ers,98,1.0,0.0,,,,,,
942,Houston Rockets,110,San Antonio Spurs,112,0.0,1.0,,,,,,
943,New Orleans Pelicans,83,Utah Jazz,88,0.0,1.0,,,,,,
944,Los Angeles Lakers,111,Dallas Mavericks,122,0.0,1.0,,,,,,
945,Portland Trail Blazers,126,Oklahoma City Thunder,121,1.0,0.0,,,,,,
946,Washington Wizards,131,Phoenix Suns,127,1.0,0.0,,,,,,
947,Brooklyn Nets,105,Atlanta Hawks,110,0.0,1.0,,,,,,
948,Washington Wizards,123,Denver Nuggets,113,1.0,0.0,,,,,,
949,Boston Celtics,99,Golden State Warriors,86,1.0,0.0,,,,,,
950,Utah Jazz,115,Houston Rockets,108,1.0,0.0,,,,,,
951,Detroit Pistons,98,Indiana Pacers,115,0.0,1.0,,,,,,
952,Charlotte Hornets,101,Miami Heat,108,0.0,1.0,,,,,,
953,New York Knicks,93,Milwaukee Bucks,104,0.0,1.0,,,,,,
954,Los Angeles Clippers,91,Minnesota Timberwolves,107,0.0,1.0,,,,,,
955,Toronto Raptors,94,New Orleans Pelicans,87,1.0,0.0,,,,,,
956,Chicago Bulls,91,Orlando Magic,98,0.0,1.0,,,,,,
957,Sacramento Kings,104,San Antonio Spurs,114,0.0,1.0,,,,,,
958,Cleveland Cavaliers,101,Detroit Pistons,106,0.0,1.0,,,,,,
959,Los Angeles Clippers,114,Memphis Grizzlies,98,1.0,0.0,,,,,,
960,San Antonio Spurs,92,Oklahoma City Thunder,102,0.0,1.0,,,,,,
961,Los Angeles Lakers,122,Phoenix Suns,110,1.0,0.0,,,,,,
962,Philadelphia 76ers,108,Portland Trail Blazers,114,0.0,1.0,,,,,,
963,Toronto Raptors,99,Atlanta Hawks,105,0.0,1.0,,,,,,
964,Houston Rockets,115,Chicago Bulls,94,1.0,0.0,,,,,,
965,Orlando Magic,81,Charlotte Hornets,121,0.0,1.0,,,,,,
966,Brooklyn Nets,96,Dallas Mavericks,105,0.0,1.0,,,,,,
967,Boston Celtics,99,Denver Nuggets,119,0.0,1.0,,,,,,
968,Indiana Pacers,85,Milwaukee Bucks,99,0.0,1.0,,,,,,
969,Golden State Warriors,102,Minnesota Timberwolves,103,0.0,1.0,,,,,,
970,Washington Wizards,130,Sacramento Kings,122,1.0,0.0,,,,,,
971,New Orleans Pelicans,125,Charlotte Hornets,122,1.0,0.0,,,,,,
972,Phoenix Suns,100,Dallas Mavericks,98,1.0,0.0,,,,,,
973,New York Knicks,92,Detroit Pistons,112,0.0,1.0,,,,,,
974,Philadelphia 76ers,100,Los Angeles Clippers,112,0.0,1.0,,,,,,
975,Atlanta Hawks,107,Memphis Grizzlies,90,1.0,0.0,,,,,,
976,Toronto Raptors,89,Miami Heat,104,0.0,1.0,,,,,,
977,Minnesota Timberwolves,95,Milwaukee Bucks,102,0.0,1.0,,,,,,
978,Utah Jazz,104,Oklahoma City Thunder,112,0.0,1.0,,,,,,
979,Cleveland Cavaliers,116,Orlando Magic,104,1.0,0.0,,,,,,
980,Washington Wizards,125,Portland Trail Blazers,124,1.0,0.0,,,,,,
981,Denver Nuggets,105,Sacramento Kings,92,1.0,0.0,,,,,,
982,Golden State Warriors,85,San Antonio Spurs,107,0.0,1.0,,,,,,
983,Chicago Bulls,80,Boston Celtics,100,0.0,1.0,,,,,,
984,New York Knicks,112,Brooklyn Nets,120,0.0,1.0,,,,,,
985,Cleveland Cavaliers,112,Houston Rockets,117,0.0,1.0,,,,,,
986,Miami Heat,98,Indiana Pacers,102,0.0,1.0,,,,,,
987,Philadelphia 76ers,118,Los Angeles Lakers,116,1.0,0.0,,,,,,
988,Portland Trail Blazers,110,Phoenix Suns,101,1.0,0.0,,,,,,
989,Chicago Bulls,115,Charlotte Hornets,109,1.0,0.0,,,,,,
990,Los Angeles Lakers,101,Denver Nuggets,129,0.0,1.0,,,,,,
991,Milwaukee Bucks,93,Memphis Grizzlies,113,0.0,1.0,,,,,,
992,Washington Wizards,104,Minnesota Timberwolves,119,0.0,1.0,,,,,,
993,Orlando Magic,115,Sacramento Kings,120,0.0,1.0,,,,,,
994,Atlanta Hawks,99,San Antonio Spurs,107,0.0,1.0,,,,,,
995,Dallas Mavericks,78,Toronto Raptors,100,0.0,1.0,,,,,,
996,Los Angeles Clippers,108,Utah Jazz,114,0.0,1.0,,,,,,
997,Oklahoma City Thunder,122,Brooklyn Nets,104,1.0,0.0,,,,,,
998,Detroit Pistons,96,Cleveland Cavaliers,128,0.0,1.0,,,,,,
999,Philadelphia 76ers,104,Golden State Warriors,106,0.0,1.0,,,,,,
1000,Portland Trail Blazers,77,New Orleans Pelicans,100,0.0,1.0,,,,,,
1001,Indiana Pacers,81,New York Knicks,87,0.0,1.0,,,,,,
1002,Minnesota Timberwolves,104,Boston Celtics,117,0.0,1.0,,,,,,
1003,Memphis Grizzlies,98,Chicago Bulls,91,1.0,0.0,,,,,,
1004,Utah Jazz,97,Detroit Pistons,83,1.0,0.0,,,,,,
1005,Los Angeles Lakers,100,Houston Rockets,139,0.0,1.0,,,,,,
1006,Charlotte Hornets,77,Indiana Pacers,98,0.0,1.0,,,,,,
1007,Milwaukee Bucks,97,Los Angeles Clippers,96,1.0,0.0,,,,,,
1008,New Orleans Pelicans,112,Miami Heat,120,0.0,1.0,,,,,,
1009,Sacramento Kings,107,Phoenix Suns,101,1.0,0.0,,,,,,
1010,Portland Trail Blazers,110,San Antonio Spurs,106,1.0,0.0,,,,,,
1011,Dallas Mavericks,112,Washington Wizards,107,1.0,0.0,,,,,,
1012,Memphis Grizzlies,103,Atlanta Hawks,91,1.0,0.0,,,,,,
1013,Utah Jazz,83,Cleveland Cavaliers,91,0.0,1.0,,,,,,
1014,Los Angeles Clippers,114,Denver Nuggets,129,0.0,1.0,,,,,,
1015,Orlando Magic,92,Golden State Warriors,122,0.0,1.0,,,,,,
1016,Brooklyn Nets,121,New York Knicks,110,1.0,0.0,,,,,,
1017,Oklahoma City Thunder,123,Toronto Raptors,102,1.0,0.0,,,,,,
1018,Boston Celtics,98,Brooklyn Nets,95,1.0,0.0,,,,,,
1019,Toronto Raptors,87,Detroit Pistons,75,1.0,0.0,,,,,,
1020,Milwaukee Bucks,107,Los Angeles Lakers,103,1.0,0.0,,,,,,
1021,Minnesota Timberwolves,105,Miami Heat,123,0.0,1.0,,,,,,
1022,Houston Rockets,112,New Orleans Pelicans,128,0.0,1.0,,,,,,
1023,Dallas Mavericks,74,Philadelphia 76ers,116,0.0,1.0,,,,,,
1024,Orlando Magic,109,Phoenix Suns,103,1.0,0.0,,,,,,
1025,Chicago Bulls,107,Washington Wizards,112,0.0,1.0,,,,,,
1026,Portland Trail Blazers,113,Atlanta Hawks,97,1.0,0.0,,,,,,
1027,Utah Jazz,86,Chicago Bulls,95,0.0,1.0,,,,,,
1028,Washington Wizards,93,Charlotte Hornets,98,0.0,1.0,,,,,,
1029,Houston Rockets,109,Denver Nuggets,105,1.0,0.0,,,,,,
1030,Milwaukee Bucks,92,Golden State Warriors,117,0.0,1.0,,,,,,
1031,Cleveland Cavaliers,78,Los Angeles Clippers,108,0.0,1.0,,,,,,
1032,San Antonio Spurs,96,Memphis Grizzlies,104,0.0,1.0,,,,,,
1033,Sacramento Kings,94,Oklahoma City Thunder,110,0.0,1.0,,,,,,
1034,Dallas Mavericks,111,Brooklyn Nets,104,1.0,0.0,,,,,,
1035,Phoenix Suns,95,Detroit Pistons,112,0.0,1.0,,,,,,
1036,Cleveland Cavaliers,125,Los Angeles Lakers,120,1.0,0.0,,,,,,
1037,Portland Trail Blazers,115,Miami Heat,104,1.0,0.0,,,,,,
1038,Minnesota Timberwolves,109,New Orleans Pelicans,123,0.0,1.0,,,,,,
1039,Boston Celtics,99,Philadelphia 76ers,105,0.0,1.0,,,,,,
1040,Sacramento Kings,102,San Antonio Spurs,118,0.0,1.0,,,,,,
1041,Indiana Pacers,91,Toronto Raptors,116,0.0,1.0,,,,,,
1042,Washington Wizards,102,Boston Celtics,110,0.0,1.0,,,,,,
1043,Atlanta Hawks,90,Charlotte Hornets,105,0.0,1.0,,,,,,
1044,Denver Nuggets,124,Houston Rockets,125,0.0,1.0,,,,,,
1045,Utah Jazz,100,Indiana Pacers,107,0.0,1.0,,,,,,
1046,New York Knicks,105,Los Angeles Clippers,114,0.0,1.0,,,,,,
1047,Golden State Warriors,111,Oklahoma City Thunder,95,1.0,0.0,,,,,,
1048,Philadelphia 76ers,109,Orlando Magic,112,0.0,1.0,,,,,,
1049,Detroit Pistons,96,Brooklyn Nets,98,0.0,1.0,,,,,,
1050,Golden State Warriors,112,Dallas Mavericks,87,1.0,0.0,,,,,,
1051,Los Angeles Clippers,133,Los Angeles Lakers,109,1.0,0.0,,,,,,
