,Visitor,PTS,Home,PTS.1,visitorWin,homeWin,visTotWL,homeTotWL,visvisWL,homehomeWL,visMatchupWL,homeMatchupWL
123,Utah Jazz,87,Orlando Magic,74,1.0,0.0,,,,,,
124,Indiana Pacers,105,Philadelphia 76ers,109,0.0,1.0,,,,,,
125,Sacramento Kings,120,Portland Trail Blazers,122,0.0,1.0,,,,,,
126,Detroit Pistons,86,San Antonio Spurs,96,0.0,1.0,,,,,,
127,Cleveland Cavaliers,105,Washington Wizards,94,1.0,0.0,,,,,,
128,Philadelphia 76ers,96,Atlanta Hawks,117,0.0,1.0,,,,,,
129,Washington Wizards,95,Chicago Bulls,106,0.0,1.0,,,,,,
130,Detroit Pistons,106,Denver Nuggets,95,1.0,0.0,,,,,,
131,San Antonio Spurs,106,Houston Rockets,100,1.0,0.0,,,,,,
132,Boston Celtics,105,Indiana Pacers,99,1.0,0.0,,,,,,
133,Utah Jazz,102,Miami Heat,91,1.0,0.0,,,,,,
134,Memphis Grizzlies,96,Milwaukee Bucks,106,0.0,1.0,,,,,,
135,Los Angeles Clippers,119,Minnesota Timberwolves,105,1.0,0.0,,,,,,
136,Los Angeles Lakers,126,New Orleans Pelicans,99,1.0,0.0,,,,,,
137,Brooklyn Nets,122,Phoenix Suns,104,1.0,0.0,,,,,,
138,New York Knicks,107,Toronto Raptors,118,0.0,1.0,,,,,,
139,Charlotte Hornets,93,Cleveland Cavaliers,100,0.0,1.0,,,,,,
140,Phoenix Suns,120,Golden State Warriors,133,0.0,1.0,,,,,,
141,Los Angeles Lakers,99,Minnesota Timberwolves,125,0.0,1.0,,,,,,
142,Orlando Magic,119,Oklahoma City Thunder,117,1.0,0.0,,,,,,
143,Denver Nuggets,105,Portland Trail Blazers,112,0.0,1.0,,,,,,
144,Oklahoma City Thunder,88,Detroit Pistons,104,0.0,1.0,,,,,,
145,Philadelphia 76ers,88,Houston Rockets,115,0.0,1.0,,,,,,
146,Orlando Magic,69,Indiana Pacers,88,0.0,1.0,,,,,,
147,Brooklyn Nets,95,Los Angeles Clippers,127,0.0,1.0,,,,,,
148,Boston Celtics,105,New Orleans Pelicans,106,0.0,1.0,,,,,,
149,Dallas Mavericks,77,New York Knicks,93,0.0,1.0,,,,,,
150,Miami Heat,90,San Antonio Spurs,94,0.0,1.0,,,,,,
151,Memphis Grizzlies,102,Utah Jazz,96,1.0,0.0,,,,,,
152,Toronto Raptors,117,Cleveland Cavaliers,121,0.0,1.0,,,,,,
153,Brooklyn Nets,118,Los Angeles Lakers,125,0.0,1.0,,,,,,
154,Atlanta Hawks,93,Miami Heat,90,1.0,0.0,,,,,,
155,Charlotte Hornets,115,Minnesota Timberwolves,108,1.0,0.0,,,,,,
156,Chicago Bulls,113,Portland Trail Blazers,88,1.0,0.0,,,,,,
157,Milwaukee Bucks,100,Atlanta Hawks,107,0.0,1.0,,,,,,
158,Dallas Mavericks,83,Boston Celtics,90,0.0,1.0,,,,,,
159,Phoenix Suns,104,Denver Nuggets,120,0.0,1.0,,,,,,
160,Cleveland Cavaliers,93,Indiana Pacers,103,0.0,1.0,,,,,,
161,Memphis Grizzlies,111,Los Angeles Clippers,107,1.0,0.0,,,,,,
162,Detroit Pistons,102,New York Knicks,105,0.0,1.0,,,,,,
163,Houston Rockets,103,Oklahoma City Thunder,105,0.0,1.0,,,,,,
164,New Orleans Pelicans,82,Orlando Magic,89,0.0,1.0,,,,,,
165,Washington Wizards,102,Philadelphia 76ers,109,0.0,1.0,,,,,,
166,San Antonio Spurs,110,Sacramento Kings,105,1.0,0.0,,,,,,
167,Golden State Warriors,127,Toronto Raptors,121,1.0,0.0,,,,,,
168,Portland Trail Blazers,109,Houston Rockets,126,0.0,1.0,,,,,,
169,Milwaukee Bucks,73,Miami Heat,96,0.0,1.0,,,,,,
170,Philadelphia 76ers,86,Minnesota Timberwolves,110,0.0,1.0,,,,,,
171,Chicago Bulls,85,Utah Jazz,77,1.0,0.0,,,,,,
172,New York Knicks,112,Washington Wizards,119,0.0,1.0,,,,,,
173,Golden State Warriors,104,Boston Celtics,88,1.0,0.0,,,,,,
174,Atlanta Hawks,96,Charlotte Hornets,100,0.0,1.0,,,,,,
175,Detroit Pistons,81,Cleveland Cavaliers,104,0.0,1.0,,,,,,
176,Memphis Grizzlies,80,Dallas Mavericks,64,1.0,0.0,,,,,,
177,Toronto Raptors,113,Denver Nuggets,111,1.0,0.0,,,,,,
178,Phoenix Suns,116,Indiana Pacers,96,1.0,0.0,,,,,,
179,San Antonio Spurs,116,Los Angeles Lakers,107,1.0,0.0,,,,,,
180,Portland Trail Blazers,101,New Orleans Pelicans,113,0.0,1.0,,,,,,
181,Brooklyn Nets,105,Oklahoma City Thunder,124,0.0,1.0,,,,,,
182,Los Angeles Clippers,121,Sacramento Kings,115,1.0,0.0,,,,,,
183,Boston Celtics,94,Detroit Pistons,92,1.0,0.0,,,,,,
184,Utah Jazz,102,Houston Rockets,111,0.0,1.0,,,,,,
185,Chicago Bulls,95,Los Angeles Clippers,102,0.0,1.0,,,,,,
186,Minnesota Timberwolves,71,Memphis Grizzlies,93,0.0,1.0,,,,,,
187,Golden State Warriors,124,Milwaukee Bucks,121,1.0,0.0,,,,,,
188,Charlotte Hornets,116,New Orleans Pelicans,121,0.0,1.0,,,,,,
189,Dallas Mavericks,87,Orlando Magic,95,0.0,1.0,,,,,,
190,Phoenix Suns,105,Philadelphia 76ers,120,0.0,1.0,,,,,,
191,Miami Heat,114,Washington Wizards,111,1.0,0.0,,,,,,
192,Portland Trail Blazers,129,Brooklyn Nets,109,1.0,0.0,,,,,,
193,Utah Jazz,91,Denver Nuggets,105,0.0,1.0,,,,,,
194,Chicago Bulls,118,Los Angeles Lakers,110,1.0,0.0,,,,,,
195,Atlanta Hawks,94,New York Knicks,104,0.0,1.0,,,,,,
196,Indiana Pacers,115,Oklahoma City Thunder,111,1.0,0.0,,,,,,
197,Toronto Raptors,99,Sacramento Kings,102,0.0,1.0,,,,,,
198,Memphis Grizzlies,105,Charlotte Hornets,90,1.0,0.0,,,,,,
199,Houston Rockets,99,Detroit Pistons,96,1.0,0.0,,,,,,
200,Golden State Warriors,120,Indiana Pacers,83,1.0,0.0,,,,,,
201,Toronto Raptors,115,Los Angeles Clippers,123,0.0,1.0,,,,,,
202,Orlando Magic,89,Milwaukee Bucks,93,0.0,1.0,,,,,,
203,Boston Celtics,99,Minnesota Timberwolves,93,1.0,0.0,,,,,,
